"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2025","23,397.89","23,279.16","23,484.12","23,173.18","","0.59%"
"01/06/2025","23,261.48","22,848.08","23,290.18","22,820.30","","2.24%"
"01/03/2025","22,750.78","23,081.15","23,081.15","22,714.40","","-1.51%"
"01/02/2025","23,099.26","23,039.42","23,116.39","22,760.78","","0.28%"
"12/31/2024","23,033.78","22,749.95","23,035.40","22,741.69","","0.92%"
"12/30/2024","22,824.12","22,861.40","23,008.56","22,779.91","","-0.57%"
"12/27/2024","22,954.60","22,749.18","22,954.60","22,714.46","","1.00%"
"12/24/2024","22,727.81","22,771.47","22,833.59","22,727.81","","0.14%"
"12/23/2024","22,695.42","22,655.03","22,755.89","22,573.31","","-0.03%"
"12/20/2024","22,702.16","22,607.52","22,748.51","22,452.54","","-0.27%"
"12/19/2024","22,764.25","22,747.85","22,865.48","22,660.97","","-1.22%"
"12/18/2024","23,045.90","23,029.40","23,085.63","22,969.25","","0.26%"
"12/17/2024","22,986.85","22,850.29","23,035.04","22,833.25","","0.12%"
"12/16/2024","22,959.94","23,038.47","23,076.24","22,904.51","","-0.71%"
"12/13/2024","23,122.99","23,118.60","23,282.27","23,057.57","","-0.15%"
"12/12/2024","23,158.49","23,263.86","23,265.40","23,126.62","","-0.03%"
"12/11/2024","23,166.17","23,006.51","23,210.41","22,990.50","","0.39%"
"12/10/2024","23,076.85","23,275.03","23,281.10","23,045.95","","-1.14%"
"12/09/2024","23,343.21","23,356.85","23,439.59","23,232.98","","0.72%"
"12/06/2024","23,177.03","22,888.02","23,232.68","22,887.60","","1.31%"
"12/05/2024","22,876.36","22,727.14","22,940.22","22,727.14","","0.37%"
"12/04/2024","22,791.31","22,661.61","22,852.42","22,648.21","","0.66%"
"12/03/2024","22,641.94","22,608.64","22,843.01","22,559.28","","0.30%"
"12/02/2024","22,575.18","22,296.18","22,697.00","22,291.97","","0.11%"
"11/29/2024","22,550.65","22,289.41","22,569.20","22,278.32","","0.78%"
"11/28/2024","22,376.53","22,350.54","22,463.25","22,321.89","","0.51%"
"11/27/2024","22,263.65","22,285.42","22,305.38","22,101.94","","-0.72%"
"11/26/2024","22,424.09","22,446.34","22,618.17","22,395.99","","-0.87%"
